Kreis;Alter;Auslaenderanteil;Arbeitslosenrate;Bip;Miete;BevEntw
Frankenthal (Pfalz), Stadt;44,2;15,0;7,4;32700;6,96;+1,7
Segeberg;44,1;6,1;4,8;28600;8,23;+6,7
Höxter;44,1;5,7;5,0;25000;4,58;-7,3
Aurich;44,1;4,6;7,2;22300;5,83;+1,4
Herford;44,1;8,2;5,8;31500;5,22;-1,5
Lahn-Dill-Kreis;44,1;9,3;5,5;31000;6,29;-3,8
Halle (Saale), Stadt;44,1;7,1;10,8;27100;5,66;-3,7
Starnberg;44,1;12,7;3,0;38500;11,73;+8,4
Aschaffenburg;44,1;8,4;3,3;29000;6,84;-0,2
Straubing, Stadt;44,1;12,6;5,6;47300;6,84;+6,4
Schweinfurt;44,1;4,9;3,1;22700;5,54;-1,6
Rastatt;44,1;11,7;3,4;38300;7,35;+2,9
Weißenburg-Gunzenhausen;44,1;7,4;3,4;28100;5,47;-2,0
Neckar-Odenwald-Kreis;44,0;8,2;3,8;28900;5,66;-3,1
Euskirchen;44,0;6,9;5,6;24800;5,91;+1,7
Peine;44,0;6,5;5,6;20700;5,72;+0,4
Amberg-Sulzbach;44,0;4,9;2,9;24300;5,19;-4,4
Zollernalbkreis;44,0;11,9;3,6;31900;6,47;-1,6
Rhein-Kreis Neuss;44,0;11,3;5,7;38800;7,50;+2,1
Heidekreis;43,9;7,9;6,1;29000;5,47;+1,0
Wolfsburg, Stadt;43,9;13,2;5,0;136200;9,42;+2,6
Altötting;43,9;9,1;3,4;45200;6,00;+1,0
Neumünster, Stadt;43,9;9,4;9,6;36900;5,80;-1,0
Verden;43,9;6,0;5,1;28200;6,50;+1,8
Bodenseekreis;43,9;11,7;2,8;44300;9,61;+8,0
Delmenhorst, Stadt;43,9;11,6;10,6;20900;5,89;+0,3
Cham;43,9;4,2;3,1;30800;5,15;-2,6
Schwarzwald-Baar-Kreis;43,9;13,4;3,6;34800;6,49;+0,2
Solingen, Stadt;43,9;15,1;8,9;29100;6,01;-2,4
Minden-Lübbecke;43,9;7,0;5,4;37400;5,48;-2,8
Leverkusen, Stadt;43,9;14,2;8,7;44700;7,29;+2,1
Main-Kinzig-Kreis;43,8;13,2;4,7;30800;7,51;+2,3
Heidenheim;43,8;12,5;5,3;30800;6,27;-3,6
Schwabach, Stadt;43,8;11,0;3,7;32800;7,35;+6,5
Essen, Stadt;43,8;13,7;11,9;44400;6,23;-1,5
Westerwaldkreis;43,8;7,6;3,6;30900;5,48;-1,2
Limburg-Weilburg;43,8;10,0;4,8;26600;6,13;-2,0
Lippe;43,8;7,9;7,0;28200;5,39;-3,7
Göppingen;43,7;14,4;4,0;30800;7,52;-0,6
Miltenberg;43,7;9,9;3,1;30200;6,13;-2,3
Oldenburg;43,7;7,0;4,1;20500;6,17;+7,3
Karlsruhe;43,7;11,3;3,2;33300;7,66;+4,9
Ansbach, Stadt;43,7;10,7;4,9;52500;6,63;+3,4
Neustadt a.d.Waldnaab;43,7;4,1;3,6;27200;4,86;-5,6
Erfurt, Stadt;43,7;5,8;7,5;37100;6,90;+5,9
Wetteraukreis;43,7;10,9;4,6;27000;7,87;+3,5
Würzburg;43,7;5,1;2,3;23600;7,16;+1,5
Rottal-Inn;43,7;8,0;3,6;28400;5,73;+1,4
Neustadt a.d.Aisch-Bad Windsheim;43,7;6,2;2,3;24700;5,58;+0,1
Eifelkreis Bitburg-Prüm;43,7;10,2;3,1;25200;5,99;-0,3
Rhein-Neckar-Kreis;43,7;11,4;4,3;30300;7,71;+4,8
Düren;43,7;9,7;7,2;26500;5,94;-0,5
Enzkreis;43,6;11,6;2,8;26700;6,92;+2,3
Schwandorf;43,6;6,3;3,3;32800;5,69;+1,2
Haßberge;43,6;4,0;3,2;27500;5,45;-4,3
Rhein-Erft-Kreis;43,6;11,6;7,2;30400;7,68;+3,9
Kempten (Allgäu), Stadt;43,6;14,5;4,4;54500;7,23;+7,3
Roth;43,6;6,1;2,7;25300;6,55;+1,1
Breisgau-Hochschwarzwald;43,6;10,1;3,2;27100;8,33;+8,3
Weimar, Stadt;43,6;7,0;7,3;29100;6,90;+5,0
Kitzingen;43,6;7,1;2,8;29100;5,69;+0,7
Oberbergischer Kreis;43,6;8,7;5,5;32500;5,50;-3,9
Memmingen, Stadt;43,6;16,0;4,2;56800;7,70;+4,6
Heinsberg;43,6;10,8;6,0;23100;5,79;+2,2
Aschaffenburg, Stadt;43,6;14,6;5,8;67800;8,22;+3,1
Mönchengladbach, Stadt;43,5;13,1;10,5;30600;6,02;-0,7
Trier-Saarburg;43,5;9,4;3,3;18500;6,67;+7,3
Siegen-Wittgenstein;43,5;9,8;5,4;36900;6,09;-4,4
Main-Taunus-Kreis;43,5;14,3;3,9;48100;9,67;+6,6
Soest;43,5;8,9;6,0;31800;5,76;+0,1
Bad Tölz-Wolfratshausen;43,5;11,0;2,8;27000;9,61;+8,9
Weilheim-Schongau;43,5;8,3;2,6;34500;8,40;+5,5
Rems-Murr-Kreis;43,5;14,3;3,6;31500;8,88;+3,6
Koblenz, Stadt;43,5;10,5;6,5;66300;7,35;+3,7
Offenbach;43,4;17,3;4,8;37000;8,84;+4,6
Wuppertal, Stadt;43,4;16,7;9,8;34600;5,78;-3,6
Rhein-Sieg-Kreis;43,4;9,4;5,4;28100;7,29;+5,2
Darmstadt-Dieburg;43,4;12,8;4,5;25200;8,03;+3,3
Mainz-Bingen;43,4;9,2;3,8;30600;7,77;+8,0
Rottweil;43,4;9,4;3,0;39000;6,10;-1,5
Emmendingen;43,4;8,7;3,0;27500;8,23;+7,8
Region Hannover;43,4;12,0;7,5;40400;7,43;+3,7
Rotenburg (Wümme);43,4;5,6;4,4;28200;5,75;+1,2
Alzey-Worms;43,4;7,7;4,3;23700;6,35;+2,3
Calw;43,4;13,3;3,6;26200;6,58;-0,4
Fürstenfeldbruck;43,4;12,3;2,7;23200;11,58;+11,6
Ortenaukreis;43,4;9,5;3,4;36300;7,07;+3,9
Bremen, Stadt;43,4;15,1;9,7;47300;7,55;+3,8
Gelsenkirchen, Stadt;43,4;17,0;14,7;29700;5,18;-6,8
Deggendorf;43,4;6,5;3,3;35200;6,43;+2,1
Duisburg, Stadt;43,3;17,8;13,0;34400;5,41;-4,6
Forchheim;43,3;5,7;2,9;22500;7,00;+2,2
Landshut, Stadt;43,3;15,3;4,6;55300;9,26;+17,8
Bayreuth, Stadt;43,3;9,1;5,4;57700;7,60;-1,4
Stade;43,3;7,0;5,8;27400;7,25;+4,9
Coesfeld;43,3;5,4;3,0;25200;6,13;+2,5
Freudenstadt;43,3;9,6;3,4;34800;6,03;-2,4
Warendorf;43,3;8,9;5,8;28900;5,77;-0,4
Kleve;43,3;13,3;6,5;26700;6,05;+4,9
Rosenheim;43,3;9,2;2,5;28500;8,58;+9,6
Unterallgäu;43,2;7,8;2,2;33400;6,75;+5,1
Fulda;43,2;7,1;3,1;34400;6,07;+1,3
Bremerhaven, Stadt;43,2;15,9;14,6;36500;4,91;-3,7
Waldshut;43,2;13,5;3,2;28500;7,44;+2,7
Passau, Stadt;43,2;11,3;5,2;60300;7,85;+2,0
Leer;43,2;6,7;6,1;27100;6,24;+4,1
Erlangen-Höchstadt;43,2;7,5;2,3;31600;7,72;+4,6
Ostallgäu;43,2;7,7;2,7;31000;7,03;+4,8
Augsburg;43,2;8,2;2,8;26900;7,82;+4,6
Reutlingen;43,1;13,9;3,8;37000;8,42;+2,8
Ansbach;43,1;7,0;3,0;27500;5,72;-0,7
Lörrach;43,1;13,3;3,3;32000;10,11;+5,3
Braunschweig, Stadt;43,0;9,7;6,1;43200;7,74;+3,7
Gifhorn;43,0;5,6;4,7;17900;6,90;+1,9
Dortmund, Stadt;43,0;15,7;11,8;35000;6,34;+0,3
Esslingen;43,0;15,6;3,5;37400;9,27;+6,0
Germersheim;43,0;10,8;4,2;33700;6,93;+3,5
Konstanz;43,0;13,3;3,8;31600;9,75;+7,8
Olpe;43,0;8,9;4,2;36600;5,79;-2,6
Mühldorf a.Inn;42,9;9,7;3,8;30200;6,60;+5,2
Worms, Stadt;42,9;14,9;8,1;34800;6,93;+3,7
Dillingen a.d.Donau;42,9;8,0;2,3;30400;6,19;+0,9
Osnabrück;42,9;7,8;3,7;26400;5,68;+2,2
Hamm, Stadt;42,9;13,5;9,4;27800;5,56;-0,1
Straubing-Bogen;42,9;5,9;3,0;23300;5,42;+4,7
Göttingen;42,8;8,2;6,0;32800;7,65;-1,8
Ostalbkreis;42,8;10,1;3,5;38900;7,03;+0,1
Donau-Ries;42,8;7,8;2,2;44400;6,81;+1,6
Neu-Ulm;42,8;13,1;2,5;33500;8,23;+7,3
Kaiserslautern, Stadt;42,8;12,9;9,8;44500;6,24;+0,1
Regensburg;42,7;6,8;2,0;22300;7,37;+8,1
Bamberg;42,7;3,9;2,5;23300;6,31;+2,5
Nürnberg, Stadt;42,7;20,4;6,6;52600;8,81;+6,7
Emden, Stadt;42,7;7,9;8,7;57300;5,80;+1,1
Grafschaft Bentheim;42,7;13,5;3,9;28400;6,07;+5,1
Dingolfing-Landau;42,7;9,5;2,8;63600;6,02;+4,4
Bamberg, Stadt;42,7;10,4;4,7;56100;8,45;+5,7
Landsberg am Lech;42,6;7,5;3,1;28600;8,59;+11,9
Düsseldorf, Stadt;42,6;18,7;7,8;77200;9,92;+7,8
Lüneburg;42,6;5,8;5,8;23900;7,98;+9,6
Aichach-Friedberg;42,6;7,4;2,5;24100;7,97;+7,0
Sigmaringen;42,6;10,1;3,4;33500;5,85;-1,1
Böblingen;42,6;16,6;3,2;57800;9,54;+5,6
Steinfurt;42,6;7,8;4,7;28600;5,89;+3,0
Ludwigsburg;42,6;16,3;3,5;40700;9,30;+8,3
Günzburg;42,6;11,2;2,5;41400;6,35;+1,3
München;42,6;15,6;2,8;98900;12,50;+16,6
Heilbronn;42,6;12,5;3,5;46700;7,84;+5,1
Hohenlohekreis;42,5;9,0;3,0;43800;7,02;+3,0
Neumarkt i.d.OPf.;42,5;6,9;2,0;33400;7,04;+3,7
Städteregion Aachen;42,5;13,0;8,1;33300;7,56;+2,9
Rosenheim, Stadt;42,5;18,9;4,8;46000;9,54;+6,8
Pforzheim;42,5;23,0;7,2;42700;7,22;+6,9
Dresden, Stadt;42,5;5,7;7,3;34300;7,06;+15,3
Wiesbaden, Stadt;42,5;17,5;7,5;58600;9,80;+3,8
Gütersloh;42,5;11,3;4,8;44300;6,31;+5,0
Schwäbisch Hall;42,4;9,0;3,4;37400;6,99;+3,7
Leipzig, Stadt;42,4;7,5;8,8;33800;5,93;+16,2
Würzburg, Stadt;42,4;9,5;4,2;58400;9,55;+1,3
Flensburg, Stadt;42,4;9,7;9,0;38900;6,37;+6,1
Augsburg, Stadt;42,4;19,3;6,0;45300;9,07;+11,7
Bielefeld, Stadt;42,3;13,1;8,8;37000;6,58;+2,9
Potsdam, Stadt;42,3;6,2;6,7;37200;9,65;+19,6
Kassel, Stadt;42,3;15,1;9,1;48200;6,99;+2,9
Landau in der Pfalz, Stadt;42,3;8,8;5,2;38900;7,47;+11,0
Groß-Gerau;42,3;19,8;6,3;41000;8,77;+7,7
Tuttlingen;42,3;13,5;2,8;42100;6,82;+3,6
Fürth, Stadt;42,3;17,0;6,0;31500;8,44;+12,2
Berlin, Stadt;42,3;15,5;9,8;33900;9,29;+6,9
Marburg-Biedenkopf;42,3;10,0;4,0;33700;7,79;-1,4
Ravensburg;42,3;9,5;3,0;37300;7,93;+5,4
Neuburg-Schrobenhausen;42,3;8,8;2,0;30600;8,34;+6,6
Landshut;42,2;8,1;2,8;32400;7,20;+9,2
Gießen;42,2;10,1;6,4;31600;7,64;+4,5
Alb-Donau-Kreis;42,2;11,2;2,9;27500;7,39;+4,3
Heilbronn, Stadt;42,2;22,6;5,7;49500;8,64;+6,1
Ludwigshafen am Rhein, Stadt;42,2;22,8;8,7;74300;7,37;+3,7
Oldenburg (Oldenburg), Stadt;42,1;7,9;7,5;41000;7,86;+7,5
Kelheim;42,1;10,2;2,8;28800;7,12;+8,9
Ebersberg;41,9;11,8;2,3;28900;10,52;+16,7
Emsland;41,9;8,9;3,2;35500;5,85;+5,8
Pfaffenhofen a.d.Ilm;41,9;9,9;1,8;34700;8,41;+11,7
Dachau;41,9;14,3;2,4;25500;11,49;+15,4
Jena, Stadt;41,9;7,2;6,6;36900;8,32;+9,1
Ingolstadt, Stadt;41,8;15,8;3,1;122100;11,14;+14,8
Borken;41,8;8,5;3,9;32300;6,08;+3,5
Hamburg, Stadt;41,8;14,7;7,1;59700;10,92;+6,7
Biberach;41,8;8,5;2,5;45500;7,29;+6,6
Mannheim;41,8;22,6;5,7;59900;8,48;+3,7
Osnabrück, Stadt;41,7;11,3;7,9;45700;7,06;+2,2
Karlsruhe, Stadt;41,7;18,0;5,1;59700;9,43;+11,6
Kiel, Stadt;41,4;9,8;9,7;44100;7,07;+6,9
Köln, Stadt;41,3;18,3;8,7;54400;9,94;+10,3
Ulm;41,3;17,8;4,3;68800;9,45;+7,4
Stuttgart;41,3;23,8;5,3;78800;11,93;+8,9
Erding;41,3;9,7;1,9;27600;9,73;+16,1
Eichstätt;41,3;7,5;1,4;28000;8,63;+8,4
München, Stadt;41,2;25,3;4,6;69800;15,65;+20,5
Paderborn;41,2;8,4;5,7;33200;6,55;+5,8
Bonn, Stadt;41,2;14,6;7,1;74000;9,08;+9,2
Erlangen, Stadt;41,1;15,3;3,9;83800;9,17;+8,6
Regensburg, Stadt;41,1;13,2;3,7;82400;10,00;+15,8
Mainz, kreisfreie Stadt;41,0;16,5;6,5;54600;10,42;+14,7
Tübingen;40,6;12,3;3,2;30100;9,68;+8,8
Offenbach am Main, Stadt;40,6;33,6;10,3;37100;9,38;+8,9
Darmstadt, Stadt;40,6;17,9;6,1;67100;10,19;+13,7
Münster, Stadt;40,5;9,5;5,7;54800;9,18;+16,4
Freising;40,5;14,8;2,2;43600;10,56;+15,2
Frankfurt am Main, Stadt;40,4;28,0;6,3;91300;12,76;+14,7
Trier, Stadt;40,3;15,8;5,7;41100;8,07;+15,2
Cloppenburg;40,0;8,5;5,2;33800;5,89;+10,0
Vechta;40,0;9,8;4,2;38900;6,66;+10,7
Heidelberg;39,9;18,8;4,7;52100;10,58;+11,9
Freiburg im Breisgau;39,8;16,3;5,9;46600;11,39;+14,5
